term	property		EN	ES	FR	KO	PT
86140000	skos:prefLabel		86140000				
90000000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
90000000	skos:definition		Travel and Food and Lodging and Entertainment Services				
90000000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
90000000	skos:prefLabel		Travel and Food and Lodging and Entertainment Services				
90100000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
90100000	skos:broader	http://purl.org/essglobal/standard/products-services/90000000					
90100000	skos:definition		Restaurants and catering				
90100000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
90100000	skos:prefLabel		90100000				
90110000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
90110000	skos:broader	http://purl.org/essglobal/standard/products-services/90000000					
90110000	skos:definition		Hotels and lodging and meeting facilities				
90110000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
90110000	skos:prefLabel		90110000				
90120000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
90120000	skos:broader	http://purl.org/essglobal/standard/products-services/90000000					
90120000	skos:definition		Travel facilitation				
90120000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
90120000	skos:prefLabel		90120000				
90130000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
90130000	skos:broader	http://purl.org/essglobal/standard/products-services/90000000					
90130000	skos:definition		Performing arts				
90130000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
90130000	skos:prefLabel		90130000				
90140000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
90140000	skos:broader	http://purl.org/essglobal/standard/products-services/90000000					
90140000	skos:definition		Commercial sports				
90140000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
90140000	skos:prefLabel		90140000				
91000000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
91000000	skos:definition		Personal and Domestic Services				
91000000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
91000000	skos:prefLabel		Personal and Domestic Services				
91100000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
91100000	skos:broader	http://purl.org/essglobal/standard/products-services/91000000					
91100000	skos:definition		Personal appearance				
91100000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
91100000	skos:prefLabel		91100000				
91110000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
91110000	skos:broader	http://purl.org/essglobal/standard/products-services/91000000					
91110000	skos:definition		Domestic and personal assistance				
91110000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
91110000	skos:prefLabel		91110000				
92000000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
92000000	skos:definition		Security and Safety Services				
92000000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
92000000	skos:prefLabel		Security and Safety Services				
92120000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
92120000	skos:broader	http://purl.org/essglobal/standard/products-services/92000000					
92120000	skos:definition		Security and personal safety				
92120000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
92120000	skos:prefLabel		92120000				
93000000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
93000000	skos:definition		Politics and Civic Affairs Services				
93000000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
93000000	skos:prefLabel		Politics and Civic Affairs Services				
93100000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
93100000	skos:broader	http://purl.org/essglobal/standard/products-services/93000000					
93100000	skos:definition		Political systems and institutions				
93100000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
93100000	skos:prefLabel		93100000				
93110000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
93110000	skos:broader	http://purl.org/essglobal/standard/products-services/93000000					
93110000	skos:definition		Socio political conditions				
93110000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
93110000	skos:prefLabel		93110000				
93120000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
93120000	skos:broader	http://purl.org/essglobal/standard/products-services/93000000					
93120000	skos:definition		International relations				
93120000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
93120000	skos:prefLabel		93120000				
93130000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
93130000	skos:broader	http://purl.org/essglobal/standard/products-services/93000000					
93130000	skos:definition		Humanitarian aid and relief				
93130000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
93130000	skos:prefLabel		93130000				
93140000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
93140000	skos:broader	http://purl.org/essglobal/standard/products-services/93000000					
93140000	skos:definition		Community and social services				
93140000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
93140000	skos:prefLabel		93140000				
93160000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
93160000	skos:broader	http://purl.org/essglobal/standard/products-services/93000000					
93160000	skos:definition		Taxation				
93160000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
93160000	skos:prefLabel		93160000				
93170000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
93170000	skos:broader	http://purl.org/essglobal/standard/products-services/93000000					
93170000	skos:definition		Trade policy and regulation				
93170000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
93170000	skos:prefLabel		93170000				
94000000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
94000000	skos:definition		Organizations and Clubs				
94000000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
94000000	skos:prefLabel						
94100000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
94100000	skos:broader	http://purl.org/essglobal/standard/products-services/94000000					
94100000	skos:definition		Work related organizations				
94100000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
94100000	skos:prefLabel		94100000				
94110000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
94110000	skos:broader	http://purl.org/essglobal/standard/products-services/94000000					
94110000	skos:definition		Religious organizations				
94110000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
94110000	skos:prefLabel		94110000				
94120000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
94120000	skos:broader	http://purl.org/essglobal/standard/products-services/94000000					
94120000	skos:definition		Clubs				
94120000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
94120000	skos:prefLabel		94120000				
94130000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
94130000	skos:broader	http://purl.org/essglobal/standard/products-services/94000000					
94130000	skos:definition		Civic organizations and associations and movements				
94130000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
94130000	skos:prefLabel		94130000				
95000000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
95000000	skos:definition		Land and Buildings and Structures and Thoroughfares				
95000000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
95000000	skos:prefLabel		Land and Buildings and Structures and Thoroughfares				
95100000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
95100000	skos:broader	http://purl.org/essglobal/standard/products-services/95000000					
95100000	skos:definition		Land parcels				
95100000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
95100000	skos:prefLabel		95100000				
95110000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
95110000	skos:broader	http://purl.org/essglobal/standard/products-services/95000000					
95110000	skos:definition		Thoroughfares				
95110000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
95110000	skos:prefLabel		95110000				
95120000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
95120000	skos:broader	http://purl.org/essglobal/standard/products-services/95000000					
95120000	skos:definition		Permanent buildings and structures				
95120000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
95120000	skos:prefLabel		95120000				
95130000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
95130000	skos:broader	http://purl.org/essglobal/standard/products-services/95000000					
95130000	skos:definition		Portable buildings and structures				
95130000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
95130000	skos:prefLabel		95130000				
95140000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
95140000	skos:broader	http://purl.org/essglobal/standard/products-services/95000000					
95140000	skos:definition		Prefabricated buildings and structures				
95140000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
95140000	skos:prefLabel		95140000				
805170000	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
805170000	skos:broader	http://purl.org/essglobal/standard/products-services/85000000					
805170000	skos:definition		Death and dying support services				
805170000	skos:inScheme	http://purl.org/essglobal/standard/products-services/					
805170000	skos:prefLabel		85170000				
