term	property		EN	ES	FR	KO	PT
Organic	skos:definition		Agricultural Products issued from organic farming, without the usage of agrotoxics and other chemical based seeds, fertilizer or other inputs. It might also be Products and Services that use only organic agricultural products as inputs.				
Organic	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
Organic	skos:prefLabel		Organic				
PeasantorFamilyAgriculture	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
PeasantorFamilyAgriculture	skos:broader	http://purl.org/essglobal/standard/qualifiers/q06					
PeasantorFamilyAgriculture	skos:definition		Products and Services developped by small farmers, normally organised in the community, and normally families, that might be using traditional ways to do farming.				
PeasantorFamilyAgriculture	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
PeasantorFamilyAgriculture	skos:prefLabel		Peasant or Family Agriculture				
Selfmanagement	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
Selfmanagement	skos:broader	http://purl.org/essglobal/standard/qualifiers/q02					
Selfmanagement	skos:definition		SSE enterprise owned by the workers. Decisions about the initiative and the work are done by the same people.				
Selfmanagement	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
Selfmanagement	skos:prefLabel		Self-management				
Socialinsertioninitiatives	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
Socialinsertioninitiatives	skos:broader	http://purl.org/essglobal/standard/qualifiers/q03					
Socialinsertioninitiatives	skos:definition		Unemployed people work during a established timespan in an insertion enterprise to be better qualified for the market.				
Socialinsertioninitiatives	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
Socialinsertioninitiatives	skos:prefLabel		Social insertion initiatives				
q01	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
q01	skos:definition		Products and Services which are developed in a process that is focused on environmental sustainability, like the usage of renewable energy, recycling, ecologic packing, reused inputs, etc.				
q01	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
q01	skos:prefLabel		Ecologically or Environmentally Sustainable				
q01	skos:scopeNote						
q02	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
q02	skos:definition		Work relations, structure and conditions which are democratic and decent.				
q02	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
q02	skos:prefLabel		Democratic and decent working conditions				
q02	skos:scopeNote						
q03	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
q03	skos:definition		Products and Services developed by people normally marginalised from society and the work market, like for example unemployed people, immigrants, disabled, ex-prisonners.				
q03	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
q03	skos:prefLabel		Socially fair				
q03	skos:scopeNote						
q04	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
q04	skos:definition		Products and Services which are democratic and fair in the economic level, bringing autonomy to local SSE enterprises, fair relations along chains and contributing for a sovreign, territorial and solidarity development.				
q04	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
q04	skos:prefLabel		Economically democratic and sovereign				
q04	skos:scopeNote						
q05	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
q05	skos:definition		Products and Services developped in a way where women are empowered, as in women owned SSE initiatives or initiatives that have an internal charter granting gender equity in all steps of the economic activity.				
q05	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
q05	skos:prefLabel		Gender Equity				
q05	skos:scopeNote						
q06	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
q06	skos:definition		SSE initiatives from local and traditional communities, indigenous people, "campesinat".				
q06	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
q06	skos:prefLabel		From original / indigenous people or traditional communities				
q06	skos:scopeNote						
q07	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
q07	skos:definition		The outcomes of the work have licenses which allow for reproduction and sharing of knowledge and culture.				
q07	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
q07	skos:prefLabel		Commons and free knowledge/free culture				
q07	skos:scopeNote						
q08	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
q08	skos:definition		Products and Services that are not industrial, being made in a traditional and artisanal way.				
q08	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
q08	skos:prefLabel		Handicraft				
q08	skos:scopeNote						
q09	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
q09	skos:definition		Major supporters of co-ops.				
q09	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
q09	skos:prefLabel		Coop Promoter/Supporter	Promotor o impulsor de cooperativas	Organisation de défense/de promotion des coopératives	협동조합 지원자	
q09	skos:scopeNote						
