term	property		EN	ES	FR	KO	PT
a12	scopeNote		Includes the sectors of real estate activities	Incluye los sectores de la actividad inmobiliaria	Comprend les secteurs d'activités immobilières		Integra os setores de atividades imobiliárias
a13	prefLabel		Professional, scientific and technical activities	Actividades profesionales, científicas y técnicas	Activités professionnelles, scientifiques et techniques		Atividades profissionais, científicas e técnicas
a13	altLabel		Professional, scientific and technical activities				
a13	scopeNote		Integrates the sectors of professional, scientific and technical	Integra los sectores de servicios profesionales, científicos y técnicos	Intègre les secteurs de services professionnels, scientifiques et techniques		Integra os setores de atividades profissionais, científicas e técnicas
a14	prefLabel		Administration and management, tourism, rentals	Administración y gestión, el turismo y alquiler	Administration et mangement, tourisme et location		Administração e gestão, turismo, aluguel
a14	altLabel		Administrative and support service activities				
a14	scopeNote		Includes the sectors of administrative and support service activities	Incluye los sectores de actividades administrativas y servicios auxiliares	Comprend les secteurs d'activités de services administratifs et de soutien		Integra os setores de administrativas e de apoio as atividades de serviços
a15	prefLabel		Public administration and social security	Administración pública y seguridad social	Administration publique et sécurité sociale		Administração pública e da segurança social
a15	altLabel		Public administration and defence; compulsory social security				
a15	scopeNote		Includes the sectors of public administration, defense and compulsory social security	Incluye los sectores de la administración pública, defensa y seguridad social obligatoria	Comprend les secteurs de l'administration publique, la défense et de sécurité sociale obligatoire		Integra os setores de administração pública, defesa e segurança social obrigatória
a16	prefLabel		Education and training	Educación y formación	Éducation et formation		Educação e formação
a16	altLabel		Education				
a16	scopeNote		Integrates education sectors	Integra los sectores de educación	Intègre secteurs de l'éducation		Integra os setores de educação
a17	prefLabel		Social services, health and employment	Servicios sociales, salud y empleo	Services sociaux et santé		Serviços sociais, saúde e emprego
a17	altLabel		Human health and social work activities				
a17	scopeNote		Includes the sectors of health and social	Incluye los sectores de salud y sociales	Comprend les secteurs de la santé et social		Integra os setores de saúde humana e acção social
a18	prefLabel		Arts, culture, recreation and sports	Arte, cultura, recreación y deporte	Art, culture, loisirs et sports		Artes, cultura, recreação e esportes
a18	altLabel		Arts, entertainment and recreation				
a18	scopeNote		Includes the sectors of arts, entertainment and recreation	Corresponde a los sectores de las artes, el entretenimiento y la recreación	Comprend les secteurs des arts, spectacles et loisirs		Integra os setores de artes, entretenimento e recreação
a19	prefLabel		Membership activities, repairing and wellness	Actividades de organización social, mutualización y reparación			Atividades associativas, reparação e bem-estar
a19	altLabel		Other service activities				
a19	scopeNote		Integrates the activities of other sectors of services	Integra las actividades de otros sectores de servicios	Intègre les activités d'autres secteurs de services		Integra os setores de outras atividades de serviços
a20	prefLabel		Household activities, self-production, domestic work	Actividades domesticas e de auto-producción			Atividades domésticas, auto-produção de trabalho, doméstico
a20	altLabel		Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use				
a20	scopeNote		Integra sectors of activities of households as employers	Integra los sectores de las actividades de los hogares como empleadores	Integra secteurs d'activités des ménages en tant qu'employeurs		Integra os setores de atividades das famílias empregadoras
a21	prefLabel		International diplomacy and cooperation	Diplomacia internacional y cooperación			Diplomacia e a cooperação internacional
a21	altLabel		Activities of extraterritorial organizations and bodies				
a21	scopeNote		Integra sectors of activities of organizations and bodies	Integra los sectores de actividades de las organizaciones y organismos	Integra secteurs d'activités des organisations et organismes		Integra os setores de atividades de organizações e entidades extraterritoriais
